vbat_mv,vbat_v,active_time_elapsed_h,percent_remaining,active_hours_left
3900,3.9,0.0,100.0,12.76
3850,3.85,0.258,98.0,12.5
3800,3.8,0.645,94.9,12.12
3750,3.75,1.137,91.1,11.62
3700,3.7,1.879,85.3,10.88
3650,3.65,2.731,78.6,10.03
3600,3.6,3.576,72.0,9.18
3550,3.55,4.325,66.1,8.44
3500,3.5,5.122,59.9,7.64
3450,3.45,5.83,54.3,6.93
3400,3.4,6.619,48.1,6.14
3350,3.35,7.57,40.7,5.19
3300,3.3,8.643,32.3,4.12
3250,3.25,9.81,23.1,2.95
3200,3.2,10.695,16.2,2.07
3150,3.15,11.227,12.0,1.53
3100,3.1,11.455,10.2,1.31
3050,3.05,11.683,8.4,1.08
3000,3.0,11.911,6.7,0.85
2950,2.95,12.139,4.9,0.62
2900,2.9,12.342,3.3,0.42
2850,2.85,12.475,2.2,0.29
2800,2.8,12.592,1.3,0.17
2750,2.75,12.699,0.5,0.06
2700,2.7,12.761,0.0,0.0
2650,2.65,12.761,0.0,0.0
2600,2.6,12.761,0.0,0.0
2550,2.55,12.761,0.0,0.0
2500,2.5,12.761,0.0,0.0
2450,2.45,12.761,0.0,0.0
2400,2.4,12.761,0.0,0.0
