vbat_mv,vbat_v,time_elapsed_h,percent_remaining,estimated_hours_left
3900,3.9,0.0,100.0,24.0
3850,3.85,0.258,98.9,23.74
3800,3.8,0.646,97.3,23.35
3750,3.75,1.137,95.3,22.86
3700,3.7,1.88,92.2,22.12
3650,3.65,2.732,88.6,21.27
3600,3.6,6.792,71.7,17.21
3550,3.55,14.626,39.1,9.37
3500,3.5,15.423,35.7,8.57
3450,3.45,16.131,32.8,7.87
3400,3.4,16.92,29.5,7.08
3350,3.35,17.871,25.5,6.13
3300,3.3,18.944,21.1,5.05
3250,3.25,20.106,16.2,3.89
3200,3.2,21.931,8.6,2.07
3150,3.15,22.464,6.4,1.53
3100,3.1,22.693,5.4,1.3
3050,3.05,22.921,4.5,1.08
3000,3.0,23.15,3.5,0.85
2950,2.95,23.379,2.6,0.62
2900,2.9,23.58,1.7,0.42
2850,2.85,23.712,1.2,0.29
2800,2.8,23.828,0.7,0.17
2750,2.75,23.934,0.3,0.06
2700,2.7,23.997,0.0,0.0
2650,2.65,23.997,0.0,0.0
2600,2.6,23.997,0.0,0.0
2550,2.55,23.997,0.0,0.0
2500,2.5,23.997,0.0,0.0
2450,2.45,23.997,0.0,0.0
2400,2.4,23.997,0.0,0.0
