source_file,day,sequence_number,timestamp,segment_id,line_name,group,direction,location_type,station_id,station_name,pm1,pm25,pm10,co2,temperature,DPS_tem,humidity,pressure,pressure_change_pa_per_sec,nox,tvoc,voc_raw,nox_raw,source_flag,gps_lat,gps_lng
commuta_readings_today_20260710_114808.csv,2026-07-10,4829,2026-07-10T10:26:42.000+01:00,S01,Central,quieter,Stratford->Bond Street,platform,940GZZLUSTD,Stratford,13.297562599182127,14.061664581298828,14.061667442321776,513.0,31.184480667114254,,45.03395080566406,1017.666259765625,0.294189453125,1.0,6.0,30931,16505,live,,
commuta_readings_today_20260710_114808.csv,2026-07-10,4830,2026-07-10T10:26:52.000+01:00,S01,Central,quieter,Stratford->Bond Street,platform,940GZZLUSTD,Stratford,13.286989212036133,14.050484657287598,14.05048656463623,517.0,31.267261505126953,,45.09956359863281,1017.6981201171876,0.318603515625,1.0,7.0,30907,16554,live,,
commuta_readings_today_20260710_114808.csv,2026-07-10,4831,2026-07-10T10:27:02.000+01:00,S01,Central,quieter,Stratford->Bond Street,platform,940GZZLUSTD,Stratford,13.659074783325195,14.443950653076172,14.443952560424805,550.0,31.312658309936523,,44.96528625488281,1017.70166015625,0.035400390625,1.0,8.0,30875,16570,live,,
commuta_readings_today_20260710_114808.csv,2026-07-10,4832,2026-07-10T10:27:12.000+01:00,S01,Central,quieter,Stratford->Bond Street,platform,940GZZLUSTD,Stratford,12.560466766357422,13.282214164733888,13.28221607208252,625.0,31.39276695251465,,45.12855911254883,1017.7210693359376,0.194091796875,1.0,9.0,30807,16572,live,,
commuta_readings_today_20260710_114808.csv,2026-07-10,4833,2026-07-10T10:27:22.000+01:00,S01,Central,quieter,Stratford->Bond Street,platform,940GZZLUSTD,Stratford,12.276527404785156,12.981959342956545,12.981961250305176,693.0,31.536964416503903,,45.85488510131836,1017.7420043945312,0.2093505859375,1.0,9.0,30791,16587,live,,
commuta_readings_today_20260710_114808.csv,2026-07-10,4834,2026-07-10T10:27:32.000+01:00,S01,Central,quieter,Stratford->Bond Street,platform,940GZZLUSTD,Stratford,12.381912231445312,13.09340000152588,13.093401908874512,722.0,31.64377784729004,,46.31723403930664,1017.769287109375,0.2728271484375,1.0,10.0,30769,16634,live,,
commuta_readings_today_20260710_114808.csv,2026-07-10,4835,2026-07-10T10:27:42.000+01:00,S01,Central,quieter,Stratford->Bond Street,platform,940GZZLUSTD,Stratford,12.574031829833984,13.296558380126951,13.296561241149902,729.0,31.76127243041992,,46.82230758666992,1017.7345581054688,0.3472900390625,1.0,11.0,30713,16657,live,,
commuta_readings_today_20260710_114808.csv,2026-07-10,4836,2026-07-10T10:27:52.000+01:00,S01,Central,quieter,Stratford->Bond Street,platform,940GZZLUSTD,Stratford,16.980384826660156,17.95611000061035,17.956111907958984,732.0,31.85206413269043,,46.89707946777344,1017.757080078125,0.2252197265625,1.0,12.0,30656,16689,live,,
commuta_readings_today_20260710_114808.csv,2026-07-10,4837,2026-07-10T10:28:02.000+01:00,S01,Central,quieter,Stratford->Bond Street,platform,940GZZLUSTD,Stratford,17.39054298400879,18.47300910949707,18.577600479125977,732.0,31.974899291992188,,46.67887496948242,1017.7329711914062,0.2410888671875,1.0,13.0,30606,16691,live,,
commuta_readings_today_20260710_114808.csv,2026-07-10,4838,2026-07-10T10:28:12.000+01:00,S01,Central,quieter,Stratford->Bond Street,platform,940GZZLUSTD,Stratford,16.252426147460938,17.499361038208008,17.892995834350586,731.0,32.084381103515625,,46.567481994628906,1017.677978515625,0.5499267578125,1.0,14.0,30583,16686,live,,
commuta_readings_today_20260710_114808.csv,2026-07-10,4839,2026-07-10T10:28:22.000+01:00,S01,Central,quieter,Stratford->Bond Street,platform,940GZZLUSTD,Stratford,14.07636833190918,15.100956916809082,15.372230529785156,731.0,32.164493560791016,,45.897613525390625,1017.6932983398438,0.1531982421875,1.0,14.0,30781,16701,live,,
commuta_readings_today_20260710_114808.csv,2026-07-10,4840,2026-07-10T10:28:32.000+01:00,S01,Central,quieter,Stratford->Bond Street,platform,940GZZLUSTD,Stratford,12.721046447753906,13.472835540771484,13.49901008605957,730.0,32.21255874633789,,44.6280632019043,1017.7028198242188,0.09521484375,1.0,13.0,30874,16688,live,,
commuta_readings_today_20260710_114808.csv,2026-07-10,4841,2026-07-10T10:28:42.000+01:00,S01,Central,quieter,Stratford->Bond Street,platform,940GZZLUSTD,Stratford,12.40113639831543,13.115904808044434,13.118642807006836,723.0,32.281986236572266,,43.869686126708984,1017.8487548828124,1.4593505859375,1.0,13.0,30873,16645,live,,
commuta_readings_today_20260710_114808.csv,2026-07-10,4843,2026-07-10T10:29:02.000+01:00,S01,Central,quieter,Stratford->Bond Street,platform,940GZZLUSTD,Stratford,12.09324836730957,12.788172721862791,12.788204193115234,684.0,32.44487762451172,,43.2639045715332,1018.347412109375,4.986572265625,1.0,12.0,30895,16624,live,,
