sequence_number,timestamp,pm1,pm25,pm10,co2,temperature,DPS_tem,humidity,pressure,pressure_change_pa_per_sec,nox,tvoc,voc_raw,nox_raw,source_flag,station_id,station_name,line_id,line_name,gps_lat,gps_lng
7145,2026-08-12T15:44:07.000+01:00,11.390054702758789,13.164759635925293,14.573368072509766,1333.0,27.689022064208984,29.33991241455078,35.33378982543945,1025.2379150390625,,,,30764,0,live,,,,,,
7146,2026-08-12T15:44:17.000+01:00,10.971628189086914,12.707123756408691,14.096656799316406,1329.0,27.58220863342285,29.36627960205078,35.626766204833984,1025.1986083984375,0.39306640625,0.0,0.0,29102,16147,live,,,,,,
7147,2026-08-12T15:44:27.000+01:00,10.994133949279785,12.785635948181152,14.243968963623047,1328.0,27.523460388183594,29.390945434570312,35.918212890625,1024.1915283203125,10.07080078125,0.0,0.0,29792,16092,live,,,,,,
7148,2026-08-12T15:44:37.000+01:00,12.290716171264648,14.349061965942383,16.04925537109375,1325.0,27.42732810974121,29.434898376464844,36.11962890625,1024.5269775390625,3.3544921875,0.0,0.0,30132,16126,live,,,,,,
7149,2026-08-12T15:44:47.000+01:00,12.749794006347656,14.889755249023438,16.659400939941406,1324.0,27.379262924194336,29.462112426757812,36.314945220947266,1025.9945068359375,14.67529296875,0.0,0.0,30322,16151,live,,,,,,
7151,2026-08-12T15:45:07.000+01:00,13.87491512298584,16.251293182373047,18.236928939819336,1322.0,27.3125057220459,29.538955688476562,36.52704620361328,1025.2152099609375,7.79296875,1.0,27.0,30535,16202,live,,,,,,
7153,2026-08-12T15:45:27.000+01:00,12.339014053344727,14.650985717773438,16.66661262512207,1315.0,27.304492950439453,29.6336669921875,36.54993438720703,1023.622314453125,15.928955078125,1.0,47.0,30698,16231,live,,,,,,
7154,2026-08-12T15:45:37.000+01:00,12.483336448669434,14.928995132446289,17.102293014526367,1315.0,27.317846298217773,29.676483154296875,36.51636505126953,1022.46240234375,11.59912109375,1.0,52.0,30686,16253,live,,,,,,
7155,2026-08-12T15:45:47.000+01:00,12.157148361206055,14.645818710327148,16.89676856994629,1308.0,27.315176010131836,29.71703338623047,36.38361358642578,1022.8323974609375,3.699951171875,1.0,56.0,30771,16259,live,,,,,,
7156,2026-08-12T15:45:57.000+01:00,11.858000755310059,14.27736759185791,16.46278953552246,1307.0,27.349889755249023,29.756446838378906,36.237125396728516,1020.48974609375,23.426513671875,1.0,60.0,30778,16265,live,,,,,,
7157,2026-08-12T15:46:07.000+01:00,12.90877628326416,15.531757354736328,17.897289276123047,1293.0,27.336538314819336,29.79443359375,36.247806549072266,1020.2476806640625,2.420654296875,1.0,64.0,30801,16267,live,,,,,,
7158,2026-08-12T15:46:17.000+01:00,13.85813045501709,16.67026710510254,19.205055236816406,1293.0,27.39528465270996,29.835830688476562,36.153202056884766,1019.6896362304688,5.5804443359375,1.0,68.0,30822,16276,live,,,,,,
7159,2026-08-12T15:46:27.000+01:00,13.214470863342285,15.9148588180542,18.355636596679688,1291.0,27.413976669311523,29.88091278076172,36.09979248046875,1021.2979125976562,16.082763671875,1.0,71.0,30860,16278,live,,,,,,
7160,2026-08-12T15:46:37.000+01:00,13.216479301452637,15.929222106933594,18.385393142700195,1283.0,27.432668685913086,29.924301147460938,36.11505126953125,1023.6529541015625,23.5504150390625,1.0,74.0,30869,16281,live,,,,,,
7161,2026-08-12T15:46:47.000+01:00,12.606470108032227,15.22626781463623,17.60964012145996,1279.0,27.467384338378906,29.966835021972656,36.076904296875,1023.5275268554688,1.2542724609375,1.0,76.0,30887,16291,live,,,,,,
7162,2026-08-12T15:46:57.000+01:00,12.489627838134766,15.016627311706543,17.2917537689209,1272.0,27.49408721923828,29.988388061523438,36.07537841796875,1023.3228759765625,2.0465087890625,1.0,81.0,30878,16301,live,,,,,,
7164,2026-08-12T15:47:17.000+01:00,10.941893577575684,13.05696964263916,14.92595386505127,1267.0,27.544822692871094,30.07061767578125,35.642024993896484,1022.7908325195312,5.3204345703125,1.0,87.0,30915,16302,live,910GCUSTMHS,Custom House,,,,
7165,2026-08-12T15:47:27.000+01:00,7.950538635253906,9.43846607208252,10.734989166259766,1262.0,27.58487892150879,30.146888732910156,35.60692596435547,1022.790283203125,0.0054931640625,1.0,88.0,30960,16299,live,910GCUSTMHS,Custom House,,,,
7166,2026-08-12T15:47:37.000+01:00,5.083633899688721,5.999047756195068,6.782812595367432,1146.0,27.60357093811035,30.206146240234375,36.65522384643555,1022.793701171875,0.0341796875,1.0,70.0,31216,16308,live,910GCUSTMHS,Custom House,,,,
7167,2026-08-12T15:47:47.000+01:00,3.9016034603118896,4.572997570037842,5.135328769683838,1037.0,27.672998428344727,30.272789001464844,37.03059387207031,1022.794189453125,0.0048828125,1.0,51.0,31431,16385,live,910GCUSTMHS,Custom House,,,,
7168,2026-08-12T15:47:57.000+01:00,3.378575325012207,3.9354748725891113,4.391626834869385,965.0,27.798503875732422,30.46729278564453,37.24269485473633,1022.8233032226562,0.2911376953125,1.0,43.0,31477,16421,live,910GCUSTMHS,Custom House,,,,
7169,2026-08-12T15:48:07.000+01:00,2.7778854370117188,3.221332550048828,3.5782268047332764,876.0,28.04150390625,30.796783447265625,37.409019470214844,1022.84814453125,0.2484130859375,1.0,41.0,31552,16465,live,910GCUSTMHS,Custom House,,,,
7170,2026-08-12T15:48:17.000+01:00,3.10671067237854,3.600726842880249,3.9974493980407715,798.0,28.3192195892334,31.07947540283203,37.489891052246094,1022.8646240234375,0.164794921875,1.0,42.0,31584,16508,live,910GCUSTMHS,Custom House,,,,
7171,2026-08-12T15:48:27.000+01:00,2.8043935298919678,3.2474498748779297,3.6019375324249268,742.0,28.607614517211914,31.354248046875,37.27321243286133,1022.8027954101562,0.6182861328125,1.0,45.0,31647,16566,live,910GCUSTMHS,Custom House,,,,
7172,2026-08-12T15:48:37.000+01:00,2.6078684329986572,3.019026041030884,3.347602128982544,686.0,28.703746795654297,31.566619873046875,36.96650695800781,1022.7806396484375,0.2215576171875,1.0,47.0,31697,16608,live,910GCUSTMHS,Custom House,,,,
7173,2026-08-12T15:48:47.000+01:00,2.8111133575439453,3.2633490562438965,3.6288938522338867,635.0,28.813230514526367,31.766525268554688,36.77424240112305,1022.8124389648438,0.3179931640625,1.0,50.0,31757,16624,live,910GCUSTMHS,Custom House,,,,
7174,2026-08-12T15:48:57.000+01:00,2.846775531768799,3.318624496459961,3.706254243850708,613.0,28.920042037963867,31.921905517578125,36.59571075439453,1022.7627563476562,0.496826171875,1.0,56.0,31745,16643,live,910GCUSTMHS,Custom House,,,,
7175,2026-08-12T15:49:07.000+01:00,2.9805383682250977,3.479783535003662,3.8921990394592285,595.0,29.010833740234375,31.961036682128906,36.374454498291016,1022.8646850585938,1.019287109375,1.0,62.0,31788,16665,live,910GCUSTMHS,Custom House,,,,
7176,2026-08-12T15:49:17.000+01:00,3.1930437088012695,3.7200074195861816,4.151922225952148,566.0,29.053558349609375,31.999313354492188,36.148624420166016,1022.9017333984375,0.3704833984375,1.0,66.0,31822,16680,live,910GCUSTMHS,Custom House,,,,
